Date,Open,High,Low,Close,Volume,MarketCap
1-Aug-18,7769.04,7769.04,7504.95,7624.91,4797620000.00,131030166771.00
2-Aug-18,7634.19,7712.77,7523.44,7567.15,4214110000.00,130052066760.00
3-Aug-18,7562.14,7562.14,7328.65,7434.39,4627150000.00,127785826655.00
4-Aug-18,7438.67,7497.49,6984.07,7032.85,4268390000.00,120899698889.00
5-Aug-18,7031.08,7102.77,6940.70,7068.48,3679110000.00,121526079384.00
6-Aug-18,7062.94,7166.55,6890.54,6951.80,3925900000.00,119531508535.00
7-Aug-18,6958.32,7146.56,6748.24,6753.12,4682800000.00,116128339800.00
8-Aug-18,6746.85,6746.85,6226.22,6305.80,5064430000.00,108448409560.00
9-Aug-18,6305.56,6625.73,6249.07,6568.23,4267040000.00,112973963230.00
10-Aug-18,6571.42,6591.26,6124.52,6184.71,4528680000.00,106390927598.00
11-Aug-18,6185.79,6455.74,6109.03,6295.73,4047850000.00,108314257212.00
12-Aug-18,6283.65,6409.85,6237.50,6322.69,5665250000.00,108790259014.00
13-Aug-18,6341.36,6537.05,6225.72,6297.57,4083980000.00,108369686635.00
14-Aug-18,6287.66,6287.94,5971.05,6199.71,5301700000.00,106696389129.00
15-Aug-18,6221.42,6588.49,6221.42,6308.52,4895450000.00,108581773101.00
16-Aug-18,6294.23,6473.50,6276.41,6334.73,4328420000.00,109045250379.00
17-Aug-18,6340.91,6582.50,6324.97,6580.63,4992990000.00,113290724406.00
18-Aug-18,6583.43,6617.35,6353.73,6423.76,3984520000.00,110603014928.00
19-Aug-18,6422.57,6537.98,6361.55,6506.07,3311170000.00,112031838393.00
20-Aug-18,6500.51,6536.92,6297.93,6308.53,3665100000.00,108642191682.00
21-Aug-18,6301.07,6500.87,6298.24,6488.76,3377180000.00,111758100192.00
22-Aug-18,6486.25,6816.79,6310.11,6376.71,4668110000.00,109840902181.00
23-Aug-18,6371.34,6546.54,6371.34,6534.88,3426180000.00,112577436411.00
24-Aug-18,6551.52,6719.96,6498.64,6719.96,4097820000.00,115778358839.00
25-Aug-18,6719.95,6789.63,6700.96,6763.19,3312600000.00,116534497933.00
26-Aug-18,6754.64,6774.75,6620.75,6707.26,3295500000.00,115585205491.00
27-Aug-18,6710.80,6884.64,6689.71,6884.64,4019000000.00,118657885712.00
28-Aug-18,6891.08,7109.56,6882.34,7096.28,4659940000.00,122319195736.00
29-Aug-18,7091.71,7113.30,6970.82,7047.16,4145880000.00,121484666374.00
30-Aug-18,7043.76,7072.69,6834.69,6978.23,4463250000.00,120309828156.00
31-Aug-18,6973.97,7057.17,6920.16,7037.58,4495650000.00,121346613238.00
1-Sep-18,7044.81,7242.29,7038.05,7193.25,4116050000.00,124044625438.00
2-Sep-18,7189.58,7306.31,7132.16,7272.72,4329540000.00,125427780027.00
3-Sep-18,7279.03,7317.94,7208.15,7260.06,4087760000.00,125222785390.00
4-Sep-18,7263.00,7388.26,7255.44,7361.66,4273640000.00,126986882925.00
5-Sep-18,7361.46,7388.43,6792.83,6792.83,5800460000.00,117185657641.00
6-Sep-18,6755.14,6755.14,6404.72,6529.17,5523470000.00,112649565532.00
7-Sep-18,6528.92,6555.29,6396.87,6467.07,4264680000.00,111590424587.00
8-Sep-18,6460.17,6534.25,6197.52,6225.98,3835060000.00,107442122871.00
9-Sep-18,6223.38,6446.26,6201.22,6300.86,3671890000.00,108747090915.00
10-Sep-18,6301.57,6374.98,6292.76,6329.70,3714100000.00,109255603474.00
11-Sep-18,6331.88,6398.92,6260.21,6321.20,3849910000.00,109119948884.00
12-Sep-18,6317.01,6363.87,6265.09,6351.80,4064230000.00,109661521297.00
13-Sep-18,6354.24,6535.41,6354.24,6517.31,4210910000.00,112530970182.00
14-Sep-18,6515.41,6596.10,6456.17,6512.71,4076220000.00,112462453186.00
15-Sep-18,6509.40,6561.72,6493.55,6543.20,3216300000.00,113000324618.00
16-Sep-18,6536.68,6544.33,6460.10,6517.18,3273730000.00,112562367224.00
17-Sep-18,6514.06,6540.21,6257.52,6281.20,3910780000.00,108497127334.00
18-Sep-18,6280.91,6384.18,6265.71,6371.30,4180090000.00,110064685348.00
19-Sep-18,6371.85,6448.46,6208.34,6398.54,4431340000.00,110547735544.00
20-Sep-18,6398.85,6529.26,6395.95,6519.67,4348110000.00,112653130183.00
21-Sep-18,6513.87,6794.33,6496.36,6734.95,6531940000.00,116385068032.00
22-Sep-18,6735.05,6814.56,6616.80,6721.98,4509660000.00,116173876360.00
23-Sep-18,6715.32,6766.15,6679.42,6710.63,4197500000.00,115990387532.00
24-Sep-18,6704.77,6713.56,6580.90,6595.41,4177310000.00,114011060309.00
25-Sep-18,6603.64,6603.64,6381.86,6446.47,4726180000.00,111450035114.00
26-Sep-18,6452.79,6585.91,6397.89,6495.00,4437300000.00,112300336125.00
27-Sep-18,6495.29,6712.10,6464.95,6676.75,4606810000.00,115454861756.00
28-Sep-18,6678.75,6785.03,6598.32,6644.13,5014430000.00,114903584220.00
29-Sep-18,6643.10,6643.10,6511.65,6601.96,4363690000.00,114186839964.00
30-Sep-18,6604.71,6643.78,6566.54,6625.56,4002280000.00,114608519470.00
1-Oct-18,6619.85,6653.30,6549.08,6589.62,4000970000.00,113999846113.00
2-Oct-18,6593.24,6611.84,6537.90,6556.10,3979260000.00,113431019760.00
3-Oct-18,6553.86,6571.46,6454.03,6502.59,3887310000.00,112516993837.00
4-Oct-18,6497.91,6603.31,6497.91,6576.69,3838410000.00,113811343543.00
5-Oct-18,6574.15,6623.62,6557.41,6622.48,3671500000.00,114614764674.00
6-Oct-18,6622.45,6628.54,6577.80,6588.31,3259740000.00,114033598927.00
7-Oct-18,6590.68,6641.49,6557.04,6602.95,3306630000.00,114298880311.00
8-Oct-18,6600.19,6675.06,6576.04,6652.23,3979460000.00,115162906843.00
9-Oct-18,6653.08,6661.41,6606.94,6642.64,3580810000.00,115007759484.00
10-Oct-18,6640.29,6640.29,6538.96,6585.53,3787650000.00,114030835912.00
11-Oct-18,6586.74,6586.74,6243.74,6256.24,5181640000.00,108341572839.00
12-Oct-18,6239.25,6328.50,6236.47,6274.58,3783500000.00,108669526315.00
13-Oct-18,6278.08,6308.51,6259.81,6285.99,3064030000.00,108878136724.00
14-Oct-18,6288.49,6363.21,6280.15,6290.93,3085320000.00,108972590373.00
15-Oct-18,6292.64,6965.06,6258.68,6596.54,7370770000.00,114280022340.00
16-Oct-18,6601.41,6673.59,6571.37,6596.11,4074800000.00,114283707152.00
17-Oct-18,6590.52,6601.21,6517.45,6544.43,4088420000.00,113399343801.00
18-Oct-18,6542.33,6567.54,6450.04,6476.71,3924080000.00,112237252159.00
19-Oct-18,6478.07,6493.68,6445.31,6465.41,3578870000.00,112052990522.00
20-Oct-18,6460.92,6497.72,6449.00,6489.19,3379130000.00,112476559221.00
21-Oct-18,6490.09,6556.38,6476.00,6482.35,3253610000.00,112369106369.00
22-Oct-18,6486.05,6543.80,6462.98,6487.16,3672860000.00,112465213723.00
23-Oct-18,6472.36,6506.01,6451.27,6475.74,3716150000.00,112279779884.00
24-Oct-18,6478.89,6521.99,6468.86,6495.84,3424670000.00,112637293966.00
25-Oct-18,6484.65,6504.65,6447.03,6476.29,3230550000.00,112309554478.00
26-Oct-18,6468.44,6498.29,6449.61,6474.75,3306050000.00,112294341019.00
27-Oct-18,6480.84,6507.41,6453.53,6480.38,3393250000.00,112403001148.00
28-Oct-18,6482.66,6502.28,6447.91,6486.39,3445190000.00,112518434372.00
29-Oct-18,6492.35,6503.60,6306.99,6332.63,4199910000.00,109862898081.00
30-Oct-18,6337.04,6364.99,6310.14,6334.27,3781100000.00,109903543419.00
31-Oct-18,6336.99,6349.16,6316.88,6317.61,4191240000.00,109627117226.00
1-Nov-18,6318.14,6547.14,6311.83,6377.78,3789400000.00,110683820788.00
2-Nov-18,6378.92,6396.86,6327.38,6388.44,4234870000.00,110880236966.00
